부서,사업구분,사업운영,"사업
구분2",구분,사업코드,사업명,목표,달성,세목코드,세목명,예산,운영,독불문가능여부,담당자,,,,,,,,,,,,,,,
교수학습개발센터,혁신,폐지,자기주도 학습역량 지원체계 강화,학습,09-02-06,학생참여 교과목(PBL교과목. F/L 등) 학생지원,,,43230604,교과운영비,"1,955,190",,어지은,어지은,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,자기주도 학습역량 지원체계 강화,학습,09-02-06,학생참여 교과목(PBL교과목. F/L 등) 학생지원,,,43250615,기타지원,"650,000",,어지은,어지은,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,자기주도 학습역량 지원체계 강화,학습,09-02-06,학생참여 교과목(PBL교과목. F/L 등) 학생지원,,,42240601,각종 자료제본,0,,어지은,어지은,,,,,,,,,,,,,,,
교수학습개발센터,교비,계속,저성취 학습지원 체계 강화,학습,06-05-01,Fly-up 멘토링 프로그램(학사경고대상 학습지원 멘토링),15팀,9팀,43220651,교내장학금-학부,"4,000,000","연 2회
 (9팀)",윤선영,윤선영,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,저성취 학습지원 체계 강화,학습,06-05-01,Fly-up 멘토링 프로그램(학사경고대상 학습지원 멘토링),,,43250615,기타지원,"800,000",,윤선영,윤선영,,,,,,,,,,,,,,,
교수학습개발센터,교비,계속,자기주도 학습역량 지원체계 강화,학습,09-02-04,투게더! 덕성 학습 공동체(자율학습공동체),90팀,90팀,43220651,교내장학금-학부,"36,000,000","연 2회
 (90팀)",윤선영,윤선영,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,자기주도 학습역량 지원체계 강화,학습,09-02-04,투게더! 덕성 학습 공동체(자율학습공동체),,,43250615,기타지원,"900,000",,윤선영,윤선영,,,,,,,,,,,,,,,
교수학습개발센터,교비,계속,창의.협업 학습체계 활성화,학습,09-02-03,덕성 챌린지 프로젝트,20팀,20팀,43220651,교내장학금-학부,"11,200,000","연 2회
 (20팀)",윤선영,윤선영,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,창의.협업 학습체계 활성화,학습,09-02-03,덕성 챌린지 프로젝트,,,43250615,기타지원,"800,000",,윤선영,윤선영,,,,,,,,,,,,,,,
교수학습개발센터,교비,계속,혁신 교수법 프로그램 운영 강화,학습,09-02-02,교수자-학습자 콜라보 프로젝트,25팀,31팀,43220651,교내장학금-학부,"31,000,000","연 2회
 (31팀)",윤선영,윤선영,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,혁신 교수법 프로그램 운영 강화,학습,09-02-02,교수자-학습자 콜라보 프로젝트,,,43120617,(혁신)교과목개발및연구,"13,000,000",,윤선영,윤선영,,,,,,,,,,,,,,,
교수학습개발센터,교비,계속,자기주도 학습역량 지원체계 강화,학습,09-02-05,학생참여 공모형 워크숍,"공모2회
 워크숍4회",공모1회,43220651,교내장학금-학부,"400,000","상시
 (공모전 2회.
 특강 4회)",윤선영,윤선영,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,자기주도 학습역량 지원체계 강화,학습,09-02-05,학생참여 공모형 워크숍,,,43250615,기타지원,"2,700,000",,윤선영,윤선영,,,,,,,,,,,,,,,
교수학습개발센터,혁신,계속,혁신 교수법 프로그램 운영 강화,조사,09-01-01,교수학습개발센터 교원역량진단,,,43120618,혁신지원단운영,0,연 1회,우영식,우영식,,,,,,,,,,,,,,,
